author_sort,authors,title_sort,title,isbn,pubdate,publisher,series,series_index
"Chadwick, Frank","Frank Chadwick","Sky Galleons of Mars / Cloudships & Gunboats (Space 1889 Sci-Fi Roleplaying)","Sky Galleons of Mars / Cloudships & Gunboats (Space 1889 Sci-Fi Roleplaying)","9781930658042","2000-08-02T00:00:00+10:00","Heliograph, Inc.","","1.0"
"Hayder, Hasin & Gheorghe, Lucian","Hasin Hayder & Lucian Gheorghe","Smarty PHP Template Programming and Applications","Smarty PHP Template Programming and Applications","9781847190284","2006-04-30T00:00:00+10:00","Packt Publishing Ltd","","1.0"
"Chadwick, Frank","Frank Chadwick","Space 1889 intro","Space 1889 intro","","2010-06-23T11:38:23+10:00","","","1.0"
"Chadwick, Frank","Frank Chadwick","Space, 1889: Role-Playing in a Gentler Age","Space, 1889: Role-Playing in a Gentler Age","9780943580807","1988-12-01T00:00:00+10:00","Putnam Berkley","","1.0"
"Chadwick, Frank","Frank Chadwick","Space1889-Intro.indd","Space1889-Intro.indd","","2010-06-23T11:38:23+10:00","","","1.0"
"Barrett, Michelle","Michelle Barrett","Spell Charts 4e Magic","Spell Charts 4e Magic","","2006-01-11T19:42:27+10:00","","","1.0"
"Rinaldi, Brian","Brian Rinaldi","Static Site Generators","Static Site Generators","","2015-09-22T00:00:00+10:00","O'Reilly Media, Inc.","","1.0"
"Unknown","Unknown","thesis.dvi","thesis.dvi","","0101-01-01T10:00:00+10:00","","","1.0"
"Shenoy, Aravind","Aravind Shenoy","Thinking in CSS","Thinking in CSS","","2014-04-14T00:00:00+10:00","Packt Publishing","","1.0"
"Shenoy, Aravind","Aravind Shenoy","Thinking in HTML","Thinking in HTML","","2014-09-15T00:00:00+10:00","Packt Publishing","","1.0"
"Shenoy, Aravind","Aravind Shenoy","Thinking in JavaScript","Thinking in JavaScript","","2014-04-14T00:00:00+10:00","Packt Publishing","","1.0"
"Dirksen, Jos","Jos Dirksen","Three.js Cookbook","Three.js Cookbook","","2015-01-30T00:00:00+10:00","Packt Publishing","","1.0"
"Dirksen, Jos","Jos Dirksen","Three.js Essentials","Three.js Essentials","9781783980864","2014-07-25T00:00:00+10:00","Packt Publishing - ebooks Account","","1.0"
"Unknown","Unknown","Timewarp Rigid Body Simulation","Timewarp Rigid Body Simulation","","0101-01-01T10:00:00+10:00","","","1.0"
"Unknown","Unknown","Transferring Data between Standard Dial-Up Modems","Transferring Data between Standard Dial-Up Modems","","0101-01-01T10:00:00+10:00","PediaPress GmbH","","1.0"
"Reid, Corey","Corey Reid","Untitled","Untitled","","0101-01-01T10:00:00+10:00","","","1.0"
"Sony Corporation","Sony Corporation","User Guide","User Guide","","2011-12-25T23:00:00+10:00","Sony Corporation","","1.0"
"Unknown","Unknown","Voip","Voip","","0101-01-01T10:00:00+10:00","PediaPress GmbH","","1.0"
"Wells, H. G.","H. G. Wells","War of the Worlds, The","The War of the Worlds","9781936594054","2008-05-01T00:00:00+10:00","Arc Manor LLC","","1.0"
"Unknown","Unknown","WC Bible High","WC Bible High","","0101-01-01T10:00:00+10:00","","","1.0"
"Unknown","Unknown","WC3 Script","WC3 Script","","0101-01-01T10:00:00+10:00","","","1.0"
"Unknown","Unknown","WCP Design High","WCP Design High","","0101-01-01T10:00:00+10:00","","","1.0"
"Benkler, Yochai","Yochai Benkler","Wealth of Networks - How Social Production Transforms Markets and Freedom, The","The Wealth of Networks - How Social Production Transforms Markets and Freedom","9780300110562","0101-01-01T10:00:00+10:00","","","1.0"
"Unknown","Unknown","WEB DEVELOPMENT SALARY AND SKILLS REPORT","WEB DEVELOPMENT SALARY AND SKILLS REPORT","","0101-01-01T10:00:00+10:00","","","1.0"
"Jones, Brandon","Brandon Jones","WebGL Beginner's Guide","WebGL Beginner's Guide","9781849691727","2012-06-15T00:00:00+10:00","Packt Publishing","","1.0"
"Unknown","Unknown","What You Need to Know about JavaScript","What You Need to Know about JavaScript","","2016-06-06T23:09:44+10:00","","","1.0"
"Richardson, Kerri L.","Kerri L. Richardson","What Your Clutter Is Trying to Tell You: Uncover the Message in the Mess and Reclaim Your Life","What Your Clutter Is Trying to Tell You: Uncover the Message in the Mess and Reclaim Your Life","","2017-08-15T00:00:00+10:00","Hay House","","1.0"
"Unknown","Unknown","Wireless Mesh Networks","Wireless Mesh Networks","","0101-01-01T10:00:00+10:00","PediaPress GmbH","","1.0"
"Tessa, Blakeley Silver","Blakeley Silver Tessa","WordPress 3.0 jQuery","WordPress 3.0 jQuery","9781849511742","2010-09-24T00:00:00+10:00","Packt Publishing","","1.0"
"Lefebvre, Yannick","Yannick Lefebvre","WordPress Plugin Development Cookbook","WordPress Plugin Development Cookbook","9781849517683","2012-07-26T00:00:00+10:00","Packt Publishing","","1.0"
"Unknown","Unknown","World of Peer-to-Peer, The","The World of Peer-to-Peer","","0101-01-01T10:00:00+10:00","PediaPress GmbH","","1.0"
"Steinberg, Daniel H & Cheshire, Stuart","Daniel H Steinberg & Stuart Cheshire","Zero Configuration Networking: The Definitive Guide","Zero Configuration Networking: The Definitive Guide","9781449390792","2005-12-12T23:00:00+10:00","O'Reilly Media","","1.0"
