Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
23492684,The Idealist: Aaron Swartz and the Rise of Free Culture on the Internet,Justin Peters,"Peters, Justin",,"=""1476767726""","=""9781476767727""",0,3.82,Scribner,Hardcover,352,2016,2016,,2016/12/12,to-read,to-read (#70),to-read,,,,0,,,0,,,,,
409303,"The Well: A Story of Love, Death & Real Life in the Seminal Online Community",Katie  Hafner,"Hafner, Katie",,"=""0786708468""","=""9780786708468""",0,3.79,Carroll & Graf Publishers,Hardcover,208,2001,2001,,2016/12/12,to-read,to-read (#69),to-read,,,,0,,,0,,,,,
7156914,The Nomadic Developer: Surviving and Thriving in the World of Technology Consulting,Aaron Erickson,"Erickson, Aaron",Chris G. Williams,"=""0321659414""","=""9780321659415""",0,3.74,Addison-Wesley Professional,ebook,395,2009,2009,,2016/12/12,to-read,to-read (#68),to-read,,,,0,,,0,,,,,
821987,Weaving the Web: The Original Design and Ultimate Destiny of the World Wide Web,Tim Berners-Lee,"Berners-Lee, Tim",,"=""006251587X""","=""9780062515872""",0,3.86,HarperBusiness,Paperback,256,2000,1999,,2016/12/12,to-read,to-read (#67),to-read,,,,0,,,0,,,,,
23214145,The Undersea Network,Nicole Starosielski,"Starosielski, Nicole",,"=""0822357550""","=""9780822357551""",0,3.67,Duke University Press Books,Paperback,312,2015,2015,,2016/12/12,to-read,to-read (#66),to-read,,,,0,,,0,,,,,
16193364,Turing: Pioneer of the Information Age,B. Jack Copeland,"Copeland, B. Jack",,"=""0199639795""","=""9780199639793""",0,3.78,Oxford University Press (UK),Hardcover,300,2013,2012,,2016/12/12,to-read,to-read (#65),to-read,,,,0,,,0,,,,,
32708737,How Software Defined Networking (SDN) Is Going To Change Your World Forever: The Revolution In Network Design And How It Affects You,Jim Anderson,"Anderson, Jim",,"=""""","=""9781370263363""",0,5.00,Smashwords Edition,ebook,,2016,,,2016/12/12,to-read,to-read (#64),to-read,,,,0,,,0,,,,,
52853,The Victorian Internet,Tom Standage,"Standage, Tom",,"=""0425171698""","=""9780425171691""",0,3.90,Berkley Trade,Paperback,240,1999,1998,,2016/12/12,paper,paper (#7),read,,,,1,,,0,,,,,
17412776,"Minecraft: The Unlikely Tale of Markus ""Notch"" Persson and the Game that Changed Everything",Daniel Goldberg,"Goldberg, Daniel","Linus Larsson, Jennifer  Hawkins","=""1609805372""","=""9781609805371""",0,3.85,Seven Stories Press,Hardcover,256,2013,2012,,2016/12/12,to-read,to-read (#63),to-read,,,,0,,,0,,,,,
222146,Masters of Doom: How Two Guys Created an Empire and Transformed Pop Culture,David Kushner,"Kushner, David",Wil Wheaton,"=""0812972155""","=""9780812972153""",0,4.24,Random House Trade Paperbacks,Paperback,339,2004,2003,,2016/12/12,paper,paper (#6),read,,,,1,,,0,,,,,
10256723,Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,Kevin D. Mitnick,"Mitnick, Kevin D.","William L. Simon, Steve Wozniak","=""0316037702""","=""9780316037709""",0,3.95,"Little, Brown and Company",Hardcover,393,2011,2011,,2016/12/12,to-read,to-read (#62),to-read,,,,0,,,0,,,,,
21856367,"The Innovators: How a Group of  Hackers, Geniuses and Geeks Created the Digital Revolution",Walter Isaacson,"Isaacson, Walter",,"=""147670869X""","=""9781476708690""",0,4.04,Simon and Schuster,Hardcover,528,2014,2014,,2016/12/12,to-read,to-read (#61),to-read,,,,0,,,0,,,,,
573804,Dungeons and Dreamers: The Rise of Computer Game Culture from Geek to Chic,Brad  King,"King, Brad",John Borland,"=""0072228881""","=""9780072228885""",0,3.62,McGraw-Hill/Osborne Media,Hardcover,273,2003,2003,,2016/12/10,to-read,to-read (#60),to-read,,,,0,,,0,,,,,
2796728,Dungeons and Desktops: The History of Computer Role-Playing Games,Matt Barton,"Barton, Matt",,"=""1568814119""","=""9781568814117""",0,3.61,A K PETERS,Hardcover,451,2008,2008,,2016/12/10,to-read,to-read (#59),to-read,,,,0,,,0,,,,,
